Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton Town,Colchester United,1.70,3.50,4.65
Carlisle United,Swindon Town,3.00,3.30,2.20
Exeter City,Barrow AFC,1.65,3.65,4.75
Forest Green Rovers,Walsall FC,1.50,4.00,5.65
Harrogate Town FC,Leyton Orient FC,2.20,3.20,3.10
Hartlepool United FC,Sutton United FC,2.60,3.15,2.55
