Home_team,Away_team,Home_team_win,Draw,Away_team_win
West Ham United,Newcastle United,1.71,4.10,5.25
Arsenal,Brentford,1.46,4.60,8.25
Aston Villa,Watford,1.68,4.10,5.75
Brighton & Hove Albion,Burnley,1.71,3.95,5.75
Crystal Palace,Chelsea,6.00,4.00,1.66
Liverpool,Norwich City,1.13,9.75,30.00
Southampton,Everton,2.15,3.65,3.60
Manchester City,Tottenham Hotspur,1.28,6.00,13.00
